fecha,tmax_C,hora_tmax,tmin_C,hora_tmin
2023-01-01,21.1,14:21,6.3,03:59
2023-01-02,16.0,00:01,11.1,23:54
2023-01-03,17.3,14:39,5.7,07:48
2023-01-04,18.6,14:43,7.4,02:22
2023-01-05,18.8,15:23,6.0,06:20
2023-01-06,19.2,14:48,5.3,23:50
2023-01-07,18.8,14:25,4.6,00:44
2023-01-08,19.7,12:54,15.8,21:05
2023-01-09,20.0,13:18,12.3,23:26
2023-01-10,18.6,16:15,8.1,05:55
2023-01-11,19.8,15:26,8.4,02:44
2023-01-12,18.6,15:18,6.7,07:54
2023-01-13,18.1,15:45,5.8,08:25
2023-01-14,19.1,15:28,2.8,07:27
2023-01-15,17.6,13:59,2.2,07:49
2023-01-16,16.7,13:50,2.6,07:41
2023-01-17,18.4,13:49,11.6,Varias
2023-01-18,15.1,15:16,6.7,Varias
2023-01-19,15.5,14:18,-0.2,07:55
2023-01-20,18.3,14:38,10.2,00:23
2023-01-21,19.9,14:21,7.2,05:57
2023-01-22,13.7,15:18,3.4,23:50
2023-01-23,13.9,15:14,-1.0,07:48
2023-01-24,12.6,15:25,-0.9,02:12
2023-01-25,14.0,15:43,-0.6,02:59
2023-01-26,14.4,12:04,-4.1,07:31
2023-01-27,16.0,13:55,-2.6,07:57
2023-01-28,13.0,14:02,1.0,03:22
2023-01-29,14.6,14:50,-1.2,04:57
2023-01-30,16.4,13:44,0.1,06:22
2023-01-31,17.1,14:04,0.7,07:02
2023-02-01,19.0,15:14,-1.2,07:37
2023-02-02,17.8,15:17,-1.4,04:02
2023-02-03,19.5,15:15,-0.8,02:28
2023-02-04,18.9,15:11,-0.5,04:48
2023-02-05,19.8,15:18,-3.3,07:10
2023-02-06,19.7,12:33,0.3,01:12
2023-02-07,18.0,13:06,3.6,06:08
2023-02-08,16.2,15:51,5.9,04:47
2023-02-09,20.3,15:19,6.9,23:46
2023-02-10,16.8,14:05,5.8,05:55
2023-02-11,19.5,13:36,6.6,22:38
2023-02-12,20.5,15:42,6.1,02:11
2023-02-13,20.9,15:32,4.8,03:25
